"12-13-26", "OAO---"
"12-13-27", "OAP---"
"12-13-28", "O-----"
"12-14-00", "SL----"
"12-14-01", "SLA---"
"12-14-02", "SLH---"
"12-14-03", "SLR---"
"12-14-04", "SA----"
"12-14-05", "SAO---"
"12-14-06", "SAA---"
"12-14-07", "SLB---"
"12-14-08", "SAE---"
"12-14-09", "SAN---"
"12-14-10", "SAT---"
"12-14-11", "S-----"
"12-15-00", "G-----"
"13-00-00", "OG----"
"13-00-01", "OGB---"
"13-00-02", "OGL---"
"13-00-03", "OGZ---"
"13-00-04", "OGF---"
"13-00-05", "OGR---"
"13-00-06", "OS----"
"13-00-07", "OA----"
"13-00-08", "OAD---"
"13-00-09", "OADU--"
"13-00-10", "OADC--"
"13-00-11", "OAR---"
"13-00-12", "OAO---"
"13-00-13", "OAOF--"
"13-00-14", "OAOM--"
"13-00-15", "OAOP--"
"13-00-16", "OAW---"
"13-00-17", "OB----"
"13-00-18", "OM----"
"13-00-19", "OMU---"
"13-00-20", "OMT---"
"13-00-21", "OMD---"
"13-00-22", "OME---"
"13-00-23", "OMP---"
"13-00-24", "OMW---"
"13-00-25", "OMC---"
"13-00-26", "OF----"
"13-00-27", "OFS---"
"13-00-28", "OFD---"
"13-00-29", "OFG---"
"13-00-30", "OFA---"
"13-00-31", "OE----"
"13-00-32", "OEB---"
"13-00-33", "OEF---"
"13-00-34", "OET---"
"13-00-35", "OED---"
"13-00-36", "OU----"
"13-00-37", "OR----"
"13-00-38", "ORP---"
"13-00-39", "ORS---"
"13-00-40", "ORA---"
"13-00-41", "ORC---"
"13-00-42", "OT----"
"13-00-43", "OW----"
"13-00-44", "OWU---"
"13-00-45", "OWS---"
"13-00-46", "OWD---"
"13-00-47", "OWA---"
"13-00-48", "OWL---"
"13-00-49", "OWH---"
"13-00-50", "OWC---"
"13-00-51", "OWCS--"
"13-00-52", "OWCD--"
"13-00-53", "OWCT--"
"13-00-54", "O-----"
"13-01-00", "BD----"
"13-01-01", "BDE---"
"13-01-02", "BDD---"
"13-01-03", "BDI---"
"13-01-04", "BC----"
"13-01-05", "BCA---"
"13-01-06", "BCB---"
"13-01-07", "BCF---"
"13-01-08", "BCE---"
"13-01-09", "BCD---"
"13-01-10", "BCL---"
"13-01-11", "BCR---"
"13-01-12", "BCP---"
"13-01-13", "B-----"
"13-02-00", "SE----"
"13-02-01", "SF----"
"13-02-02", "SL----"
"13-02-03", "SW----"
"13-02-04", "SP----"
"13-02-05", "SS----"
"13-02-06", "SU----"
"13-02-07", "S-----"
"13-03-00", "NM----"
"13-03-01", "NZ----"
"13-03-02", "NF----"
"13-03-03", "NR----"
"13-03-04", "NB----"
"13-03-05", "NC----"
"13-03-06", "NE----"
"13-03-07", "NEB---"
"13-03-08", "NEC---"
"13-03-09", "ND----"
"13-03-10", "NDP---"
"13-03-11", "NDA---"
"13-03-12", "NDT---"
"13-03-13", "NDE---"
"13-03-14", "NDB---"
"13-03-15", "NDO---"
"13-03-16", "NDD---"
"13-03-17", "NL----"
"13-03-18", "N-----"
"14-00-00", "PTS---"
"14-00-01", "PTN---"
"14-01-00", "PCF---"
"14-01-01", "PCS---"
"14-01-02", "PCB---"
"14-01-03", "PCR---"
"14-01-04", "PCH---"
"14-01-05", "PCL---"
"14-02-00", "LT----"
"14-03-00", "LTS---"
"14-04-00", "LTF---"
"14-05-00", "LCF---"
"14-05-01", "LCC---"
"14-05-02", "LCN---"
"14-05-03", "LCR---"
"14-06-00", "AT----"
"14-07-00", "ATC---"
"14-08-00", "ATR---"
"14-09-00", "ATG---"
"14-10-00", "ATS---"
"14-11-00", "ATB---"
"14-12-00", "ACS---"
"14-12-01", "ACSI--"
"14-12-02", "ACSR--"
"14-12-03", "ACSC--"
"14-12-04", "ACA---"
"14-12-05", "ACAI--"
"14-12-06", "ACAR--"
"14-12-07", "ACAC--"
"14-12-08", "ACF---"
"14-12-09", "ACFI--"
"14-12-10", "ACFR--"
"14-12-11", "ACFC--"
"14-12-12", "ACN---"
"14-12-13", "ACNI--"
"14-12-14", "ACNR--"
"14-12-15", "ACNC--"
"14-12-16", "ACR---"
"14-12-17", "ACRI--"
"14-12-18", "ACRR--"
"14-12-19", "ACRC--"
"14-12-20", "ACP---"
"14-12-21", "PCPR--"
"14-12-22", "ACPC--"
"14-12-23", "ACPI--"
"14-13-00", "AZI---"
"14-13-01", "AZII--"
"14-13-02", "AZIR--"
"14-13-03", "AZIC--"
"14-13-04", "AZX---"
"14-13-05", "AZXI--"
"14-13-06", "AZXR--"
"14-13-07", "AZXC--"
"14-13-08", "AZS---"
"14-13-09", "AZSI--"
"14-13-10", "AZSR--"
"14-13-11", "AZSC--"
"14-13-12", "AZC---"
"14-13-13", "AZCI--"
"14-13-14", "AZCR--"
"14-13-15", "AZCC--"
"14-13-16", "AZD---"
"14-13-17", "AZDI--"
"14-13-18", "AZDR--"
"14-13-19", "AZDC--"
"14-13-20", "AZF---"
"14-13-21", "AZFI--"
"14-13-22", "AZFR--"
"14-13-23", "AZFC--"
"14-13-24", "AZZ---"
"14-13-25", "AZZI--"
"14-13-26", "AZZR--"
"14-13-27", "AZZC--"
"14-13-28", "AZB---"
"14-13-29", "AZBI--"
"14-13-30", "AZBR--"
"14-13-31", "AZBC--"
"14-13-32", "AZV---"
"14-13-33", "AZVI--"
"14-13-34", "AZVR--"
"14-13-35", "AZVC--"
"14-14-00", "AXC---"
"14-14-01", "AXS---"
"15-00-00", "P-----"
"15-01-00", "PX----"
"15-02-00", "PC----"
"15-03-00", "PY----"
"15-04-00", "PT----"
"15-05-00", "PD----"
"15-06-00", "PE----"
